OBJECTID_left,STORENAME,ADDRESS,PHONE,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,NOTES,PRESENT09,PRESENT10,PRESENT11,PRESENT12,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,X_COORD,Y_COORD,WARD,ADDRESS_ID,SSL,ZIPCODE,PRESENT18,GIS_ID,geometry,index_right,OBJECTID_right,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Leng,Shape_Area,FAGI_TOTAL,FAGI_MEDIA,FAGI_TOT_1,FAGI_MED_1,FAGI_TOT_2,FAGI_MED_2,FAGI_TOT_3,FAGI_MED_3,FAGI_TOT_4,FAGI_MED_4,FAGI_TOT_5,FAGI_MED_5
69,Safeway,4203 DAVENPORT ST NW,2023640290,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,392852.16000000003,142717.87,Ward 3,301160,1672    0815,20016,No,GroceryStorePt_9,POINT (-77.08246449753962 38.95234016155867),17,18,001001,11001001001,7436,7168,6342,298,17,432,2,77,74,33,172,9,512,5925,295,9,427,2,22,61,28,164,8,5918,5097,249,14,365,2,65,38,23,71,8,387,4786,248,9,362,2,13,30,19,67,8,2834,2727,107,606.40178436,0.94750279,6507.906512504414,2454020.9701431664,441410751.0,114136.5,445020421.0,105423.5,482792403.0,109646.0,523214776.0,110482.5,563657398.0,128283.0,567841867.0,131571.0
10,Avenue Market,5010 NEW HAMPSHIRE AVE NW,2027261330,,,,,,,,,,,,,,,,398933.95,142612.14,Ward 4,306154,3403    0806,20011,,GroceryStorePt_10,POINT (-77.0123007836538 38.95141615466527),113,114,002202,11001002202,3087,2946,285,2177,26,28,1,429,105,34,19,19,648,174,2130,10,28,0,4,81,22,18,19,2440,232,1761,18,28,1,308,74,28,12,18,448,160,1727,9,28,0,4,56,17,11,18,1434,1272,162,171.85117555,0.26851746,3340.613291681235,695457.0375970316,53733218.0,29485.5,65242968.0,29500.0,59185960.0,31222.0,64348461.0,30895.0,68791897.0,31094.0,76191464.0,34486.0
14,Giant,4303 CONNECTICUT AVE NW,2023648250,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,394523.79000000004,141846.96,Ward 3,301784,2049    0805,20008,Yes,GroceryStorePt_70,POINT (-77.06317251045735 38.94450677593537),29,30,001302,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.41836004,0.61471619,6378.547809913651,1592107.6264679222,319818452.0,68999.0,405180643.0,73585.0,417821164.0,69520.0,443957414.0,72262.0,401733884.0,73354.5,488935701.0,75148.0
18,Target,3505 CONNECTICUT AVE NW,2028923794,,,,,,,,,,,,,,,,394970.18,140886.73,Ward 3,301779,2222    0015,20008,,GroceryStorePt_18,POINT (-77.0580161995249 38.93585941366029),29,30,001302,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.41836004,0.61471619,6378.547809913651,1592107.6264679222,319818452.0,68999.0,405180643.0,73585.0,417821164.0,69520.0,443957414.0,72262.0,401733884.0,73354.5,488935701.0,75148.0
19,Streets Market,3427 CONNECTICUT AVE NW,2022449114,,,,,,,,,,,,,,,,394981.35000000003,140818.27,Ward 3,219257,2219    0809,20008,,GroceryStorePt_19,POINT (-77.05788686412507 38.93524276936389),29,30,001302,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.41836004,0.61471619,6378.547809913651,1592107.6264679222,319818452.0,68999.0,405180643.0,73585.0,417821164.0,69520.0,443957414.0,72262.0,401733884.0,73354.5,488935701.0,75148.0
20,Yes! Organic,3425 CONNECTICUT AVE NW,2023631559,No,No,No,No,Yes,Cleveland Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,394989.7,140809.79,Ward 3,219254,2219    0005,20008,Yes,GroceryStorePt_20,POINT (-77.0577904942142 38.93516642663926),29,30,001302,11001001302,6857,6672,5596,379,13,595,2,87,40,28,122,9,483,5219,371,7,587,2,21,36,25,115,9,6589,5395,359,13,569,2,84,38,28,106,9,459,5038,351,7,561,2,21,34,23,102,9,5375,4795,580,393.41836004,0.61471619,6378.547809913651,1592107.6264679222,319818452.0,68999.0,405180643.0,73585.0,417821164.0,69520.0,443957414.0,72262.0,401733884.0,73354.5,488935701.0,75148.0
15,Yes! Organic,4100 GEORGIA  AVENUE NW,2022915790,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397786.99,141460.14,Ward 4,300492,2910    0810,20011,Yes,GroceryStorePt_14,POINT (-77.0255289707541 38.94103647207615),119,120,002502,11001002502,5973,5514,1493,2496,39,91,5,1390,116,47,60,175,2532,837,2363,13,90,5,28,72,28,47,2,4826,1281,2079,28,83,4,1003,83,43,41,131,1876,778,1985,7,82,4,19,51,26,33,2,2415,2151,264,149.36200544,0.23337814,3238.906670947491,604446.5945645798,116055853.0,26090.0,156512610.0,32326.0,135667766.0,28524.0,149546963.97,30983.0,153589572.0,34494.0,184029268.0,37513.0
16,Safeway,3830 GEORGIA  AVE NW,2028821140,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397845.01,141173.71,Ward 4,225076,2905    0814,20011,Yes,GroceryStorePt_16,POINT (-77.02485883166266 38.93845637077936),119,120,002502,11001002502,5973,5514,1493,2496,39,91,5,1390,116,47,60,175,2532,837,2363,13,90,5,28,72,28,47,2,4826,1281,2079,28,83,4,1003,83,43,41,131,1876,778,1985,7,82,4,19,51,26,33,2,2415,2151,264,149.36200544,0.23337814,3238.906670947491,604446.5945645798,116055853.0,26090.0,156512610.0,32326.0,135667766.0,28524.0,149546963.97,30983.0,153589572.0,34494.0,184029268.0,37513.0
70,Morazan Grocery Store,3928 14TH ST NW,2027237480,,,,,,,,,,,,,,,,397136.32,141283.89,Ward 4,259021,2693    0044,20011,,GroceryStorePt_15,POINT (-77.03303361445171 38.93944688026951),119,120,002502,11001002502,5973,5514,1493,2496,39,91,5,1390,116,47,60,175,2532,837,2363,13,90,5,28,72,28,47,2,4826,1281,2079,28,83,4,1003,83,43,41,131,1876,778,1985,7,82,4,19,51,26,33,2,2415,2151,264,149.36200544,0.23337814,3238.906670947491,604446.5945645798,116055853.0,26090.0,156512610.0,32326.0,135667766.0,28524.0,149546963.97,30983.0,153589572.0,34494.0,184029268.0,37513.0
17,Yes! Organic,3809 12TH ST NE,2028327715,No,No,No,No,Yes,Brookland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,400832.73,140992.28,Ward 5,30397,3925    0085,20017,Yes,GroceryStorePt_17,POINT (-76.99039744206605 38.93682424490822),172,173,009504,11001009504,3025,2940,643,2204,10,40,0,43,66,27,24,5,120,592,2187,5,40,0,3,62,27,24,5,2603,579,1892,7,38,0,28,44,20,17,3,89,540,1876,4,38,0,2,40,20,17,3,1354,1254,100,253.59064958,0.39623539,4227.412190022429,1026244.9549888513,69274045.0,43233.0,76802968.0,44206.5,72545466.0,41582.0,78335079.0,43487.0,83501617.0,44864.5,92795105.0,48695.5
21,Panam Grocery,3552 14TH ST NW,2025450290,,,,,,,,,,,,,,,,397936.98,140363.25,Ward 1,243394,2688    0054,20010,,GroceryStorePt_21,POINT (-77.02379557476016 38.93115572302315),91,92,003100,11001003100,2885,2757,949,1086,18,101,0,603,38,24,20,11,1037,652,1056,1,97,0,6,22,9,16,4,2439,856,919,15,92,0,460,31,18,17,10,789,628,894,1,90,0,5,19,8,15,4,1131,1009,122,72.84079601,0.11381374,2574.2554446549425,294776.24488345033,60468985.0,28420.0,96124283.0,35170.0,75002721.0,31472.5,86351514.2,34062.0,92848628.0,36878.0,109392822.0,39963.0
22,BestWorld Super Market,3178 MOUNT PLEASANT ST NW,2022653768,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396658.16000000003,140340.12,Ward 1,233149,2601    0667,20010,Yes,GroceryStorePt_22,POINT (-77.03854438909197 38.93094342714374),133,134,002702,11001002702,5226,5006,3439,699,48,205,1,614,65,38,58,14,1303,2924,652,15,202,0,24,43,21,52,11,4578,3057,635,37,185,1,494,46,32,44,12,1076,2620,591,11,183,0,15,32,18,39,9,2565,2311,254,124.92452393,0.19519457,3697.627804769025,505551.6149629946,198770793.0,43840.5,223639542.0,48746.5,216772349.0,45791.0,238216199.0,47500.0,232110688.0,47399.0,270883128.0,50917.0
24,El Progreso Market,3158 MOUNT PLEASANT ST NW,2024621151,,,,,,,,,,,,,,,,396681.69,140258.18,Ward 1,236467,2596    1055,20010,,GroceryStorePt_24,POINT (-77.03827261674165 38.93020537550058),133,134,002702,11001002702,5226,5006,3439,699,48,205,1,614,65,38,58,14,1303,2924,652,15,202,0,24,43,21,52,11,4578,3057,635,37,185,1,494,46,32,44,12,1076,2620,591,11,183,0,15,32,18,39,9,2565,2311,254,124.92452393,0.19519457,3697.627804769025,505551.6149629946,198770793.0,43840.5,223639542.0,48746.5,216772349.0,45791.0,238216199.0,47500.0,232110688.0,47399.0,270883128.0,50917.0
23,Giant,1345 PARK RD NW,2027771077,No,No,No,No,Yes,Tivoli Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397232.21,140326.39,Ward 1,297595,2837    0079,20010,Yes,GroceryStorePt_23,POINT (-77.0319236902472 38.93082173909141),89,90,002900,11001002900,3962,3719,1606,1246,29,125,5,708,52,28,48,11,1370,1159,1213,4,125,5,17,31,11,40,3,3364,1460,1038,20,112,5,542,36,25,34,11,1058,1099,1016,3,112,5,16,23,11,30,3,1643,1448,195,74.70801484,0.11673127,2357.3989172211304,302332.6114582485,95743613.0,29736.0,137466819.0,37310.0,117975868.0,32774.0,132985526.0,35366.0,134545107.59,33953.5,158259296.0,36677.0
25,Good Food Markets,2006 RHODE ISLAND AVE NE,2022488494,,,,,,,,,,,,,,,,402183.58,140174.04,Ward 5,53027,4219    0030,20018,,GroceryStorePt_25,POINT (-76.97481915156219 38.92945097121794),156,157,011100,11001011100,4859,4727,322,4192,24,15,1,173,110,58,19,3,337,241,4147,18,15,1,8,88,46,19,3,3945,279,3410,21,13,1,123,85,43,12,3,237,223,3379,15,13,1,5,70,37,12,3,1868,1727,141,1497.65127059,2.34008013,13673.107138748504,6060779.698894324,101111776.0,40473.0,108672370.0,40625.5,99900451.0,40198.0,104974019.0,41009.0,115762533.0,41166.0,122414153.0,42315.0
26,Target,3100 14TH ST NW,2027773773,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,397140.04000000004,140158.41,Ward 1,306304,2674    0721,20010,Yes,GroceryStorePt_26,POINT (-77.03298601467985 38.92930822797334),88,89,002802,11001002802,4277,4043,1753,1069,51,181,2,987,65,37,40,9,1843,1125,1034,9,180,1,4,43,18,28,2,3568,1564,854,38,166,2,750,55,32,34,7,1412,1073,834,7,165,1,3,37,17,28,2,2142,1935,207,56.34356824,0.08803683,2102.6069717406585,228014.33233941314,76017142.0,25506.0,113498858.0,31154.5,98267866.0,28033.5,104928617.0,28800.0,90869593.0,29954.0,111655848.0,34182.0
27,Safeway,1747 COLUMBIA RD NW,2026670774,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396445.44,139593.32,Ward 1,284083,2580    0512,20009,Yes,GroceryStorePt_27,POINT (-77.04099386279987 38.92421518348707),5,6,003900,11001003900,4474,4304,3285,563,21,225,4,206,88,43,59,3,553,2995,546,13,224,3,21,55,25,57,3,4225,3145,528,20,208,4,181,72,34,49,3,492,2884,511,13,207,3,17,46,24,47,3,2996,2806,190,99.08050118,0.15481328,3408.0806436443777,400964.5649077118,155878056.0,51160.0,206237963.0,59470.0,211741280.0,56264.5,215163653.0,58480.0,179473697.0,58736.0,214640250.0,63630.0
28,Harris Teeter,1631 KALORAMA RD,2029861415,No,No,No,No,Yes,Citadel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396666.63,139345.87,Ward 1,284059,2572    0036,20009,Yes,GroceryStorePt_28,POINT (-77.0384418623821 38.92198694131714),4,5,003800,11001003800,4614,4419,2884,825,22,261,1,426,77,37,78,7,935,2456,796,10,257,1,26,59,27,68,3,4177,2726,729,18,240,1,313,53,35,64,6,738,2364,705,8,236,1,22,39,26,55,2,2861,2625,236,87.92165175,0.13737758,2708.2950738027644,355806.3031736651,155960140.0,48799.0,209040361.0,54786.0,196678623.0,52077.0,213601983.0,54908.0,213544242.0,56380.0,235619338.0,60561.0
29,Yes! Organic,1825 COLUMBIA RD NW,2024625150,No,No,No,No,Yes,Adams Morgan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,396209.7,139325.82,Ward 1,295011,2549    0636,20009,Yes,GroceryStorePt_29,POINT (-77.04371096490623 38.92180447221157),19,20,004001,11001004001,3745,3623,3237,139,5,162,8,72,33,26,60,5,345,2999,133,5,162,3,3,28,26,50,5,3486,3034,131,5,157,6,57,26,25,42,5,289,2825,130,5,157,3,2,23,19,40,5,2489,2305,184,68.1625484,0.10650398,2361.3353616505906,275844.04841566633,203836328.0,72807.0,230295472.0,77629.0,253288626.0,74273.0,262839923.0,78314.5,242543416.0,78459.5,269573000.0,85301.5
30,Whole Foods,2323 WISCONSIN AVE NW,2023335393,No,No,Yes,Yes,Yes,Georgetown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,393789.84,139230.75,Ward 3,284358,1299    1028,20007,Yes,GroceryStorePt_30,POINT (-77.0716152331314 38.92093428097332),14,15,000400,11001000400,1455,1428,1247,50,2,103,0,26,9,2,15,1,123,1149,46,1,103,0,12,6,2,15,1,1218,1032,43,2,100,0,23,7,1,10,1,104,949,39,1,100,0,10,5,1,10,1,690,636,54,378.38282437,0.59122317,5949.909533558944,1531260.9720111191,244811632.0,104934.0,130390459.0,110621.0,224772922.0,101766.0,221418072.0,102512.0,260450481.0,130923.5,296162003.0,121711.0
36,Trader Joe's,2101 WISCONSIN AVE NW # A,2029448403,,,,,,,,,,,,,,,,394043.36,138828.56,Ward 3,279531,1299    0321,20007,,GroceryStorePt_36,POINT (-77.06868826971424 38.9173129772803),14,15,000400,11001000400,1455,1428,1247,50,2,103,0,26,9,2,15,1,123,1149,46,1,103,0,12,6,2,15,1,1218,1032,43,2,100,0,23,7,1,10,1,104,949,39,1,100,0,10,5,1,10,1,690,636,54,378.38282437,0.59122317,5949.909533558944,1531260.9720111191,244811632.0,104934.0,130390459.0,110621.0,224772922.0,101766.0,221418072.0,102512.0,260450481.0,130923.5,296162003.0,121711.0
31,Costco Wholesale,2441 MARKET ST NE,2022698540,No,No,No,No,No,Costco,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,404259.71,139220.21,Ward 5,309925,4327    0004,20018,Yes,GroceryStorePt_31,POINT (-76.95088115617465 38.92085095656862),41,42,009000,11001009000,2732,2648,113,2431,6,68,0,30,74,31,19,1,76,100,2412,5,68,0,3,64,31,16,1,2430,104,2170,6,58,0,22,62,30,13,1,57,95,2156,5,58,0,2,54,30,11,1,1646,1553,93,359.71954724,0.5620618,5394.277842134048,1455733.3686593429,56150253.0,43111.0,65837807.73,47746.0,53740241.0,41497.0,61387829.0,44821.0,83619685.28,52520.0,94751459.0,57961.0
32,Streets Market,2400 14TH ST NW,2022653300,No,No,No,No,No,Street's,No,No,No,No,No,Yes,Yes,Yes,Yes,397217.8,139209.69,Ward 1,234183,2661    0864,20009,Yes,GroceryStorePt_32,POINT (-77.03208536793328 38.92076210575761),3,4,003700,11001003700,5763,5507,1915,2527,22,212,10,821,134,60,55,15,1514,1490,2405,13,206,7,16,65,34,45,7,4798,1782,1988,17,193,9,605,106,50,49,10,1125,1450,1906,9,188,6,15,55,26,41,7,2570,2401,169,72.2318631,0.11286229,2297.040643539269,292311.98082742596,103905996.0,32263.0,162058134.0,41387.5,126923023.0,35705.5,143596631.0,38248.0,140501730.0,39131.0,181651966.0,45690.5
33,Streets Market,1864 COLUMBIA RD NW,2027580658,,,,,,,,,,,,,,,,396224.29000000004,139209.43,Ward 1,235402,2551    0063,20009,,GroceryStorePt_33,POINT (-77.04354207691901 38.92075605615907),20,21,004002,11001004002,2797,2720,2232,226,4,181,1,76,27,14,44,4,250,2088,209,2,179,1,3,22,12,41,4,2654,2135,209,3,170,1,67,24,15,41,3,227,1998,195,2,168,1,3,19,12,39,3,1916,1762,154,48.45148116,0.07570544,2132.734911504177,196076.18885450048,132421749.0,60460.5,170535365.0,65155.0,168856216.0,62671.0,182296727.25,65831.0,157938502.0,66742.0,181993123.0,71996.0
